iter	Passed	Remaining
0	1	122
1	2	122
2	3	123
3	4	115
4	5	113
5	7	111
6	8	113
7	9	110
8	10	106
9	11	104
10	12	101
11	13	99
12	14	97
13	15	94
14	16	92
15	17	94
16	19	94
17	20	93
18	21	91
19	22	90
20	23	88
21	24	88
22	26	87
23	27	86
24	28	84
25	29	82
26	30	81
27	31	79
28	32	79
29	33	78
30	34	77
31	36	76
32	37	75
33	38	75
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	66
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	51	58
47	52	57
48	53	56
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	82	25
76	83	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
