iter	Passed	Remaining
0	154	153947
1	162	80982
2	164	54722
3	166	41580
4	169	33734
5	178	29624
6	182	25950
7	190	23635
8	193	21278
9	195	19360
10	198	17819
11	203	16782
12	206	15676
13	209	14719
14	211	13877
15	216	13293
16	218	12634
17	221	12099
18	225	11663
19	234	11505
20	237	11058
21	239	10646
22	241	10266
23	245	10003
24	249	9727
25	251	9439
26	254	9157
27	256	8895
28	263	8835
29	267	8656
30	271	8481
31	275	8344
32	278	8163
33	282	8027
34	285	7861
35	291	7807
36	294	7657
37	296	7510
38	298	7364
39	301	7237
40	305	7156
41	308	7035
42	310	6913
43	313	6804
44	317	6739
45	320	6647
46	322	6541
47	324	6439
48	326	6342
49	333	6329
50	337	6272
51	339	6181
52	341	6096
53	347	6094
54	350	6025
55	353	5956
56	356	5891
57	362	5890
58	365	5835
59	369	5786
60	378	5822
61	380	5762
62	382	5695
63	385	5630
64	387	5569
65	392	5549
66	395	5501
67	397	5445
68	399	5393
69	402	5351
70	407	5338
71	410	5287
72	412	5237
73	414	5188
74	418	5164
75	423	5145
76	425	5098
77	427	5052
78	429	5007
79	432	4970
80	437	4969
81	440	4933
82	442	4884
83	444	4847
84	447	4815
85	450	4788
86	453	4755
87	457	4743
88	464	4752
89	467	4729
90	470	4697
91	472	4666
92	475	4641
93	481	4639
94	483	4609
95	486	4582
96	489	4554
97	494	4554
98	497	4528
99	500	4500
100	502	4471
101	505	4446
102	509	4435
103	512	4412
104	514	4385
105	516	4358
106	520	4340
107	524	4333
108	526	4307
109	529	4282
110	531	4258
111	537	4260
112	540	4238
113	545	4240
114	556	4281
115	559	4262
116	561	4235
117	563	4211
118	570	4223
119	572	4200
120	575	4178
121	579	4167
122	586	4183
123	589	4163
124	592	4147
125	594	4126
126	599	4123
127	602	4104
128	604	4083
129	607	4064
130	612	4064
131	615	4046
132	617	4025
133	621	4014
134	623	3996
135	631	4011
136	634	3994
137	636	3976
138	639	3961
139	646	3971
140	649	3957
141	651	3934
142	653	3915
143	657	3907
144	660	3891
145	666	3898
146	671	3897
147	678	3904
148	680	3887
149	683	3871
150	687	3866
151	690	3854
152	693	3836
153	695	3820
154	697	3802
155	705	3815
156	707	3800
157	711	3789
158	713	3774
159	723	3795
160	725	3778
161	727	3762
162	734	3771
163	738	3763
164	740	3748
165	743	3733
166	750	3745
167	753	3730
168	758	3729
169	762	3723
170	770	3733
171	772	3719
172	775	3707
173	780	3706
174	783	3693
175	785	3679
176	788	3664
177	796	3676
178	798	3662
179	800	3648
180	802	3633
181	808	3633
182	810	3619
183	812	3603
184	816	3598
185	819	3585
186	827	3595
187	829	3582
188	832	3570
189	840	3584
190	843	3573
191	846	3562
192	855	3577
193	858	3567
194	861	3554
195	872	3580
196	876	3572
197	881	3571
198	886	3567
199	889	3556
200	893	3553
201	900	3558
202	903	3545
203	905	3533
204	907	3519
205	914	3524
206	917	3514
207	920	3504
208	922	3492
209	931	3505
210	934	3495
211	947	3522
212	956	3532
213	961	3531
214	965	3525
215	969	3517
216	981	3541
217	984	3530
218	989	3528
219	994	3526
220	998	3519
221	1000	3507
222	1008	3512
223	1011	3502
224	1013	3490
225	1015	3478
226	1020	3475
227	1023	3464
228	1028	3463
229	1031	3454
230	1038	3456
231	1040	3445
232	1043	3435
233	1051	3441
234	1054	3432
235	1058	3426
236	1069	3443
237	1083	3469
238	1087	3461
239	1097	3474
240	1105	3481
241	1112	3483
242	1115	3475
243	1133	3510
244	1136	3503
245	1143	3504
246	1149	3503
247	1162	3524
248	1166	3518
249	1175	3525
250	1178	3516
251	1186	3522
252	1196	3533
253	1200	3526
254	1207	3528
255	1211	3521
256	1215	3512
257	1224	3522
258	1229	3516
259	1237	3522
260	1246	3530
261	1255	3537
262	1259	3530
263	1263	3522
264	1270	3524
265	1274	3516
266	1283	3522
267	1287	3515
268	1291	3510
269	1299	3514
270	1303	3507
271	1312	3511
272	1316	3506
273	1320	3497
274	1327	3500
275	1332	3494
276	1335	3485
277	1346	3497
278	1353	3497
279	1361	3500
280	1367	3499
281	1374	3500
282	1381	3499
283	1393	3514
284	1398	3508
285	1401	3499
286	1414	3514
287	1418	3505
288	1431	3521
289	1441	3528
290	1446	3523
291	1449	3514
292	1456	3513
293	1459	3504
294	1462	3493
295	1465	3485
296	1475	3491
297	1479	3484
298	1496	3507
299	1508	3520
300	1512	3512
301	1516	3504
302	1518	3494
303	1522	3485
304	1531	3490
305	1537	3487
306	1540	3477
307	1546	3475
308	1550	3466
309	1553	3458
310	1556	3447
311	1565	3453
312	1569	3444
313	1576	3443
314	1579	3435
315	1587	3436
316	1597	3442
317	1606	3444
318	1613	3444
319	1617	3436
320	1634	3458
321	1641	3456
322	1648	3454
323	1659	3462
324	1668	3465
325	1673	3460
326	1678	3454
327	1682	3446
328	1690	3446
329	1694	3439
330	1706	3448
331	1709	3438
332	1713	3433
333	1720	3430
334	1723	3421
335	1730	3419
336	1734	3412
337	1739	3406
338	1746	3404
339	1753	3403
340	1757	3396
341	1762	3390
342	1764	3380
343	1767	3371
344	1770	3361
345	1779	3363
346	1782	3354
347	1784	3344
348	1793	3345
349	1797	3338
350	1800	3329
351	1812	3335
352	1815	3327
353	1817	3316
354	1825	3315
355	1827	3306
356	1832	3300
357	1840	3300
358	1846	3297
359	1852	3292
360	1855	3284
361	1857	3274
362	1860	3264
363	1862	3253
364	1867	3249
365	1872	3243
366	1874	3233
367	1877	3224
368	1885	3223
369	1889	3217
370	1893	3210
371	1900	3208
372	1905	3202
373	1912	3200
374	1914	3191
375	1920	3187
376	1928	3187
377	1933	3181
378	1935	3171
379	1939	3163
380	1943	3157
381	1945	3148
382	1949	3140
383	1952	3131
384	1958	3127
385	1960	3119
386	1963	3110
387	1973	3112
388	1979	3108
389	1988	3110
390	1992	3103
391	1995	3095
392	2001	3091
393	2005	3084
394	2008	3075
395	2010	3066
396	2019	3067
397	2023	3061
398	2026	3052
399	2037	3056
400	2040	3048
401	2047	3045
402	2054	3043
403	2057	3034
404	2067	3038
405	2072	3032
406	2078	3028
407	2085	3025
408	2087	3016
409	2094	3014
410	2097	3005
411	2101	2999
412	2105	2993
413	2113	2991
414	2115	2982
415	2117	2973
416	2124	2969
417	2127	2961
418	2129	2953
419	2132	2944
420	2141	2944
421	2143	2936
422	2146	2927
423	2150	2921
424	2157	2918
425	2159	2910
426	2162	2901
427	2169	2899
428	2173	2892
429	2175	2884
430	2178	2875
431	2185	2873
432	2187	2864
433	2189	2855
434	2191	2847
435	2197	2843
436	2201	2836
437	2204	2828
438	2207	2820
439	2214	2818
440	2217	2810
441	2224	2807
442	2229	2803
443	2234	2798
444	2237	2790
445	2243	2787
446	2247	2780
447	2250	2772
448	2252	2764
449	2259	2762
450	2263	2755
451	2267	2749
452	2274	2746
453	2278	2739
454	2280	2731
455	2283	2723
456	2291	2722
457	2294	2715
458	2297	2707
459	2299	2699
460	2303	2693
461	2306	2685
462	2311	2680
463	2317	2676
464	2322	2672
465	2325	2664
466	2327	2656
467	2331	2650
468	2335	2644
